target_id	length
AD-5-152-2_S236_TRINITY_DN13736_c0_g1_i1.p1	8997
AD-7-149-2_S243_TRINITY_DN2060_c0_g1_i1.p1	8922
AD-9-127-2_S251_TRINITY_DN1774_c0_g1_i1.p1	8865
AD-5-152-2_S236_TRINITY_DN904_c0_g2_i2.p1	8817
AD-7-149-2_S243_TRINITY_DN2060_c0_g1_i3.p1	8811
AD-7-149-2_S243_TRINITY_DN1992_c0_g2_i1.p1	8724
AD-2-108-3_S224_TRINITY_DN19680_c0_g1_i3.p1	8676
AD-7-125-1_S246_TRINITY_DN2368_c0_g2_i1.p1	8640
AD-2-108-3_S224_TRINITY_DN2453_c0_g1_i1.p1	8634
AD-9-127-2_S251_TRINITY_DN1774_c0_g1_i3.p1	8598
AD-5-152-2_S236_TRINITY_DN10509_c0_g1_i2.p1	8454
AD-5-152-2_S236_TRINITY_DN6279_c0_g1_i4.p1	8448
AD-9-127-2_S251_TRINITY_DN1819_c1_g1_i11.p1	8430
AD-5-152-2_S236_TRINITY_DN2937_c0_g1_i2.p1	8379
AD-5-152-2_S236_TRINITY_DN242_c1_g1_i1.p1	8373
AD-5-152-2_S236_TRINITY_DN683_c0_g2_i10.p1	8319
AD-5-152-2_S236_TRINITY_DN894_c0_g1_i6.p1	8319
AD-7-125-1_S246_TRINITY_DN18390_c0_g2_i3.p1	8319
AD-5-152-2_S236_TRINITY_DN1274_c0_g2_i1.p1	8304
AD-7-149-2_S243_TRINITY_DN1122_c1_g2_i1.p1	8304
AD-2-108-3_S224_TRINITY_DN6961_c0_g1_i4.p1	8268
AD-5-152-2_S236_TRINITY_DN371_c1_g1_i5.p1	8262
AD-5-152-2_S236_TRINITY_DN4232_c0_g1_i6.p1	8181
AD-2-108-3_S224_TRINITY_DN2432_c0_g1_i6.p1	8160
AD-5-152-2_S236_TRINITY_DN7105_c0_g2_i3.p1	8073
AD-5-152-2_S236_TRINITY_DN683_c0_g1_i2.p1	8061
AD-7-149-2_S243_TRINITY_DN1515_c0_g1_i1.p1	8046
AD-7-149-2_S243_TRINITY_DN6269_c0_g2_i2.p1	8040
AD-2-108-3_S224_TRINITY_DN5162_c0_g1_i1.p1	8013
AD-5-152-2_S236_TRINITY_DN1046_c1_g1_i2.p1	7968
AD-9-127-2_S251_TRINITY_DN0_c2_g1_i1.p1	7968
AD-9-127-2_S251_TRINITY_DN13056_c0_g1_i1.p1	7953
AD-5-152-2_S236_TRINITY_DN6612_c0_g1_i20.p1	7926
AD-5-152-2_S236_TRINITY_DN528_c0_g1_i4.p1	7911
AD-7-125-1_S246_TRINITY_DN1461_c0_g1_i2.p1	7815
AD-7-149-2_S243_TRINITY_DN8133_c0_g1_i4.p1	7800
AD-2-108-3_S224_TRINITY_DN5096_c0_g1_i8.p1	7713
AD-5-152-2_S236_TRINITY_DN2960_c0_g1_i10.p1	7695
AD-7-149-2_S243_TRINITY_DN98_c2_g1_i10.p1	7692
AD-5-152-2_S236_TRINITY_DN2679_c0_g1_i1.p1	7683
AD-5-152-2_S236_TRINITY_DN3967_c0_g1_i5.p1	7683
AD-2-108-3_S224_TRINITY_DN4365_c0_g1_i3.p1	7668
AD-5-152-2_S236_TRINITY_DN527_c0_g1_i1.p1	7629
AD-2-108-3_S224_TRINITY_DN390_c0_g1_i4.p1	7626
AD-5-152-2_S236_TRINITY_DN15043_c0_g1_i3.p1	7611
AD-7-149-2_S243_TRINITY_DN3808_c0_g1_i2.p1	7608
AD-7-149-2_S243_TRINITY_DN2848_c0_g1_i3.p1	7605
AD-2-108-3_S224_TRINITY_DN3190_c0_g1_i1.p1	7599
AD-7-149-2_S243_TRINITY_DN3879_c2_g1_i3.p1	7572
AD-5-152-2_S236_TRINITY_DN1256_c0_g1_i5.p1	7569
AD-5-152-2_S236_TRINITY_DN2763_c0_g1_i10.p1	7560
AD-5-152-2_S236_TRINITY_DN1396_c2_g1_i6.p1	7557
AD-7-125-1_S246_TRINITY_DN597_c1_g1_i3.p1	7557
AD-5-152-2_S236_TRINITY_DN6392_c0_g1_i2.p1	7548
AD-7-149-2_S243_TRINITY_DN5454_c0_g1_i4.p1	7524
AD-7-125-1_S246_TRINITY_DN1995_c0_g1_i6.p1	7512
AD-5-152-2_S236_TRINITY_DN6634_c0_g1_i4.p1	7506
AD-7-149-2_S243_TRINITY_DN317_c0_g1_i1.p1	7506
AD-5-152-2_S236_TRINITY_DN1179_c0_g1_i1.p1	7503
AD-9-127-2_S251_TRINITY_DN4938_c0_g1_i4.p1	7485
AD-5-152-2_S236_TRINITY_DN15926_c0_g1_i5.p1	7449
AD-5-152-2_S236_TRINITY_DN1518_c0_g2_i2.p1	7359
AD-2-108-3_S224_TRINITY_DN8309_c0_g1_i1.p1	7335
AD-7-125-1_S246_TRINITY_DN13202_c0_g1_i3.p1	7329
AD-2-108-3_S224_TRINITY_DN1193_c0_g1_i4.p1	7323
AD-5-152-2_S236_TRINITY_DN566_c1_g1_i4.p1	7323
AD-5-152-2_S236_TRINITY_DN1473_c0_g1_i1.p1	7284
AD-5-152-2_S236_TRINITY_DN191_c0_g2_i1.p1	7284
AD-9-127-2_S251_TRINITY_DN1929_c0_g1_i7.p1	7284
AD-5-152-2_S236_TRINITY_DN2135_c0_g1_i2.p1	7281
AD-5-152-2_S236_TRINITY_DN12783_c0_g2_i3.p1	7275
AD-7-125-1_S246_TRINITY_DN3524_c0_g1_i4.p1	7266
AD-7-125-1_S246_TRINITY_DN9067_c0_g1_i3.p1	7242
AD-7-125-1_S246_TRINITY_DN8189_c0_g1_i7.p1	7227
AD-2-108-3_S224_TRINITY_DN1910_c0_g1_i4.p1	7200
AD-5-152-2_S236_TRINITY_DN4891_c0_g1_i1.p1	7176
AD-7-125-1_S246_TRINITY_DN2553_c0_g1_i5.p1	7137
AD-2-108-3_S224_TRINITY_DN344_c0_g1_i11.p1	7134
AD-2-108-3_S224_TRINITY_DN9453_c0_g1_i1.p1	7119
AD-2-108-3_S224_TRINITY_DN3165_c0_g1_i1.p1	7101
AD-5-152-2_S236_TRINITY_DN9246_c0_g1_i4.p1	7092
AD-5-152-2_S236_TRINITY_DN13223_c0_g2_i1.p1	7086
AD-7-125-1_S246_TRINITY_DN9609_c0_g1_i3.p1	7062
AD-2-108-3_S224_TRINITY_DN95_c0_g1_i10.p1	7038
AD-2-108-3_S224_TRINITY_DN3981_c0_g1_i3.p1	7020
AD-2-108-3_S224_TRINITY_DN3955_c0_g1_i16.p1	7017
AD-5-152-2_S236_TRINITY_DN3066_c1_g1_i1.p1	7017
AD-2-108-3_S224_TRINITY_DN289_c0_g1_i7.p1	7011
AD-2-108-3_S224_TRINITY_DN860_c0_g1_i3.p1	7008
AD-9-127-2_S251_TRINITY_DN5731_c0_g1_i14.p1	6987
AD-7-149-2_S243_TRINITY_DN15691_c0_g1_i1.p1	6966
AD-7-125-1_S246_TRINITY_DN3175_c0_g1_i3.p1	6963
AD-2-108-3_S224_TRINITY_DN44_c0_g1_i1.p1	6939
AD-7-149-2_S243_TRINITY_DN1408_c0_g1_i18.p1	6861
AD-2-108-3_S224_TRINITY_DN5610_c0_g1_i1.p1	6855
AD-7-149-2_S243_TRINITY_DN8473_c0_g1_i10.p1	6855
AD-9-127-2_S251_TRINITY_DN1711_c0_g1_i5.p1	6843
AD-7-149-2_S243_TRINITY_DN2603_c0_g1_i1.p1	6813
AD-2-108-3_S224_TRINITY_DN915_c0_g1_i2.p1	6810
AD-5-152-2_S236_TRINITY_DN2065_c0_g2_i1.p1	6804
AD-2-108-3_S224_TRINITY_DN531_c0_g2_i2.p1	6801
AD-7-149-2_S243_TRINITY_DN4953_c0_g2_i1.p1	6786
AD-5-152-2_S236_TRINITY_DN945_c0_g1_i1.p1	6771
AD-7-149-2_S243_TRINITY_DN14660_c0_g2_i4.p1	6759
AD-2-108-3_S224_TRINITY_DN4090_c0_g1_i3.p1	6756
AD-7-125-1_S246_TRINITY_DN3683_c0_g1_i2.p1	6744
AD-2-108-3_S224_TRINITY_DN7051_c0_g1_i2.p1	6705
AD-2-108-3_S224_TRINITY_DN11464_c0_g1_i4.p1	6669
AD-9-127-2_S251_TRINITY_DN16955_c0_g2_i1.p1	6669
AD-5-152-2_S236_TRINITY_DN8122_c0_g1_i2.p1	6654
AD-7-149-2_S243_TRINITY_DN4911_c0_g1_i6.p1	6651
AD-2-108-3_S224_TRINITY_DN2979_c0_g1_i12.p1	6639
AD-7-149-2_S243_TRINITY_DN235_c1_g1_i4.p1	6612
AD-2-108-3_S224_TRINITY_DN829_c0_g1_i14.p1	6582
AD-2-108-3_S224_TRINITY_DN2441_c0_g1_i4.p1	6525
AD-5-152-2_S236_TRINITY_DN9151_c0_g1_i5.p1	6510
AD-7-149-2_S243_TRINITY_DN2032_c0_g1_i1.p1	6486
AD-7-125-1_S246_TRINITY_DN1017_c0_g1_i6.p1	6480
AD-7-149-2_S243_TRINITY_DN4034_c0_g1_i5.p1	6474
AD-2-108-3_S224_TRINITY_DN4034_c0_g1_i1.p1	6450
AD-5-152-2_S236_TRINITY_DN4489_c0_g1_i2.p1	6447
AD-7-125-1_S246_TRINITY_DN3805_c0_g1_i2.p1	6438
AD-5-152-2_S236_TRINITY_DN2682_c0_g1_i1.p1	6435
AD-7-149-2_S243_TRINITY_DN6613_c0_g1_i1.p1	6432
AD-5-152-2_S236_TRINITY_DN2249_c0_g1_i3.p1	6420
AD-5-152-2_S236_TRINITY_DN18567_c0_g1_i2.p1	6411
AD-2-108-3_S224_TRINITY_DN1190_c0_g1_i1.p1	6408
AD-5-152-2_S236_TRINITY_DN15584_c0_g1_i1.p1	6393
AD-7-149-2_S243_TRINITY_DN902_c0_g2_i15.p1	6378
AD-7-125-1_S246_TRINITY_DN1084_c0_g1_i3.p1	6342
AD-5-152-2_S236_TRINITY_DN6918_c0_g2_i1.p1	6321
AD-5-152-2_S236_TRINITY_DN1463_c0_g1_i11.p1	6318
AD-2-108-3_S224_TRINITY_DN750_c0_g1_i2.p1	6312
AD-7-125-1_S246_TRINITY_DN22918_c0_g1_i7.p1	6294
AD-5-152-2_S236_TRINITY_DN2574_c0_g1_i1.p1	6285
AD-7-125-1_S246_TRINITY_DN13693_c0_g1_i4.p1	6243
AD-2-108-3_S224_TRINITY_DN7004_c0_g1_i7.p1	6222
AD-2-108-3_S224_TRINITY_DN1683_c0_g1_i2.p1	6213
AD-5-152-2_S236_TRINITY_DN4138_c0_g1_i11.p1	6213
AD-5-152-2_S236_TRINITY_DN4833_c0_g1_i1.p1	6195
AD-5-152-2_S236_TRINITY_DN1652_c0_g1_i7.p1	6192
AD-7-125-1_S246_TRINITY_DN13499_c0_g1_i1.p1	6180
AD-5-152-2_S236_TRINITY_DN2809_c1_g1_i1.p1	6174
AD-2-108-3_S224_TRINITY_DN310_c0_g1_i1.p1	6165
AD-2-108-3_S224_TRINITY_DN6631_c0_g1_i3.p1	6156
AD-2-108-3_S224_TRINITY_DN898_c0_g1_i3.p1	6156
AD-2-108-3_S224_TRINITY_DN6593_c0_g2_i1.p1	6135
AD-9-127-2_S251_TRINITY_DN4812_c0_g1_i14.p1	6135
AD-5-152-2_S236_TRINITY_DN5127_c0_g1_i14.p1	6132
AD-7-125-1_S246_TRINITY_DN3044_c0_g1_i2.p1	6075
AD-9-127-2_S251_TRINITY_DN4020_c0_g1_i3.p1	6060
AD-7-149-2_S243_TRINITY_DN622_c0_g1_i5.p1	6045
AD-9-127-2_S251_TRINITY_DN4550_c0_g1_i3.p1	6039
AD-9-127-2_S251_TRINITY_DN5443_c0_g1_i4.p1	6027
AD-7-125-1_S246_TRINITY_DN3385_c0_g2_i1.p1	6024
AD-2-108-3_S224_TRINITY_DN4680_c0_g1_i6.p1	6021
AD-2-108-3_S224_TRINITY_DN2495_c0_g1_i11.p1	6006
AD-2-108-3_S224_TRINITY_DN5206_c0_g1_i4.p1	5991
AD-5-152-2_S236_TRINITY_DN5570_c0_g1_i3.p1	5991
AD-7-125-1_S246_TRINITY_DN551_c0_g2_i9.p1	5991
AD-7-149-2_S243_TRINITY_DN99_c0_g1_i9.p1	5955
AD-5-152-2_S236_TRINITY_DN4059_c0_g1_i5.p1	5952
AD-2-108-3_S224_TRINITY_DN20710_c0_g1_i1.p1	5934
AD-9-127-2_S251_TRINITY_DN9074_c0_g1_i7.p1	5925
AD-2-108-3_S224_TRINITY_DN61_c0_g3_i2.p1	5922
AD-9-127-2_S251_TRINITY_DN206_c0_g1_i6.p1	5901
AD-5-152-2_S236_TRINITY_DN1385_c0_g1_i4.p1	5892
AD-7-125-1_S246_TRINITY_DN4834_c0_g2_i1.p1	5889
AD-5-152-2_S236_TRINITY_DN12183_c0_g1_i1.p1	5880
AD-5-152-2_S236_TRINITY_DN9530_c0_g1_i2.p1	5877
AD-7-125-1_S246_TRINITY_DN2768_c0_g1_i3.p1	5877
AD-7-149-2_S243_TRINITY_DN6333_c0_g1_i2.p1	5871
AD-2-108-3_S224_TRINITY_DN11477_c0_g1_i1.p1	5850
AD-5-152-2_S236_TRINITY_DN2314_c0_g1_i1.p1	5850
AD-7-149-2_S243_TRINITY_DN12689_c0_g2_i5.p1	5850
AD-9-127-2_S251_TRINITY_DN3686_c0_g1_i1.p1	5850
AD-2-108-3_S224_TRINITY_DN12596_c0_g1_i2.p1	5847
AD-7-125-1_S246_TRINITY_DN1719_c1_g1_i1.p1	5844
AD-7-149-2_S243_TRINITY_DN1748_c0_g1_i4.p1	5844
AD-2-108-3_S224_TRINITY_DN3857_c0_g1_i1.p1	5835
AD-9-127-2_S251_TRINITY_DN1711_c0_g1_i2.p1	5835
AD-2-108-3_S224_TRINITY_DN493_c0_g2_i1.p1	5826
AD-7-125-1_S246_TRINITY_DN10640_c0_g1_i1.p1	5775
AD-7-125-1_S246_TRINITY_DN6141_c0_g1_i10.p1	5769
AD-7-149-2_S243_TRINITY_DN569_c2_g1_i10.p1	5769
AD-5-152-2_S236_TRINITY_DN5498_c0_g1_i1.p1	5763
AD-2-108-3_S224_TRINITY_DN245_c0_g1_i2.p1	5760
AD-9-127-2_S251_TRINITY_DN1753_c0_g1_i6.p1	5760
AD-5-152-2_S236_TRINITY_DN6140_c0_g1_i1.p1	5751
AD-7-125-1_S246_TRINITY_DN2231_c0_g1_i3.p1	5748
AD-7-149-2_S243_TRINITY_DN2217_c0_g2_i2.p1	5748
AD-2-108-3_S224_TRINITY_DN2256_c1_g2_i1.p1	5736
AD-7-149-2_S243_TRINITY_DN2086_c0_g1_i3.p1	5730
AD-9-127-2_S251_TRINITY_DN19948_c0_g1_i1.p1	5718
AD-5-152-2_S236_TRINITY_DN32447_c0_g1_i1.p1	5712
AD-7-125-1_S246_TRINITY_DN2038_c0_g1_i9.p1	5709
AD-7-125-1_S246_TRINITY_DN12954_c1_g1_i7.p1	5706
AD-5-152-2_S236_TRINITY_DN19308_c0_g1_i1.p1	5700
AD-5-152-2_S236_TRINITY_DN717_c2_g1_i2.p1	5694
AD-7-125-1_S246_TRINITY_DN2074_c0_g1_i12.p1	5673
AD-2-108-3_S224_TRINITY_DN3682_c0_g1_i1.p1	5670
AD-2-108-3_S224_TRINITY_DN61_c0_g2_i1.p1	5664
AD-2-108-3_S224_TRINITY_DN2199_c0_g2_i2.p1	5655
AD-5-152-2_S236_TRINITY_DN4576_c0_g1_i1.p1	5655
AD-5-152-2_S236_TRINITY_DN3948_c0_g1_i2.p1	5652
AD-2-108-3_S224_TRINITY_DN1452_c0_g2_i1.p1	5643
AD-2-108-3_S224_TRINITY_DN28223_c0_g3_i5.p1	5637
AD-2-108-3_S224_TRINITY_DN4135_c4_g1_i3.p1	5634
AD-5-152-2_S236_TRINITY_DN443_c1_g1_i1.p1	5616
AD-2-108-3_S224_TRINITY_DN10543_c0_g1_i2.p1	5613
AD-2-108-3_S224_TRINITY_DN2415_c0_g1_i2.p1	5613
AD-2-108-3_S224_TRINITY_DN3428_c0_g1_i1.p1	5610
AD-9-127-2_S251_TRINITY_DN3164_c0_g1_i8.p1	5610
AD-5-152-2_S236_TRINITY_DN9755_c0_g1_i1.p1	5604
AD-2-108-3_S224_TRINITY_DN25540_c0_g1_i1.p1	5586
AD-9-127-2_S251_TRINITY_DN14470_c0_g1_i1.p1	5586
AD-5-152-2_S236_TRINITY_DN1632_c0_g1_i7.p1	5583
AD-2-108-3_S224_TRINITY_DN929_c0_g1_i1.p1	5571
AD-5-152-2_S236_TRINITY_DN34512_c0_g1_i4.p1	5571
AD-9-127-2_S251_TRINITY_DN7166_c0_g1_i3.p1	5568
AD-5-152-2_S236_TRINITY_DN11913_c0_g1_i1.p1	5559
AD-5-152-2_S236_TRINITY_DN8234_c0_g2_i1.p1	5559
AD-5-152-2_S236_TRINITY_DN1370_c0_g1_i1.p1	5553
AD-2-108-3_S224_TRINITY_DN3591_c0_g1_i1.p1	5547
AD-2-108-3_S224_TRINITY_DN7561_c0_g1_i3.p1	5541
AD-7-125-1_S246_TRINITY_DN12585_c0_g1_i1.p1	5535
AD-5-152-2_S236_TRINITY_DN1692_c0_g1_i6.p1	5526
AD-2-108-3_S224_TRINITY_DN558_c0_g1_i5.p1	5520
AD-5-152-2_S236_TRINITY_DN2567_c0_g2_i5.p1	5508
AD-5-152-2_S236_TRINITY_DN6395_c0_g2_i1.p1	5505
AD-2-108-3_S224_TRINITY_DN76_c1_g1_i3.p1	5502
AD-9-127-2_S251_TRINITY_DN94_c0_g1_i1.p1	5496
AD-7-125-1_S246_TRINITY_DN3660_c1_g1_i4.p1	5493
AD-7-125-1_S246_TRINITY_DN1196_c3_g1_i2.p1	5469
AD-5-152-2_S236_TRINITY_DN319_c0_g1_i2.p1	5460
AD-2-108-3_S224_TRINITY_DN4511_c0_g1_i11.p1	5451
AD-9-127-2_S251_TRINITY_DN9899_c0_g1_i5.p1	5451
AD-9-127-2_S251_TRINITY_DN4628_c0_g1_i1.p1	5445
AD-5-152-2_S236_TRINITY_DN503_c1_g1_i1.p1	5442
AD-7-125-1_S246_TRINITY_DN1256_c0_g1_i2.p1	5442
AD-7-149-2_S243_TRINITY_DN31030_c0_g1_i1.p1	5433
AD-7-125-1_S246_TRINITY_DN5889_c0_g1_i10.p1	5418
AD-2-108-3_S224_TRINITY_DN2872_c0_g1_i5.p1	5415
AD-2-108-3_S224_TRINITY_DN2438_c0_g1_i7.p1	5412
AD-5-152-2_S236_TRINITY_DN6213_c0_g1_i4.p1	5406
AD-7-125-1_S246_TRINITY_DN5889_c0_g1_i1.p1	5397
AD-2-108-3_S224_TRINITY_DN3420_c0_g1_i4.p1	5394
AD-5-152-2_S236_TRINITY_DN1530_c0_g1_i14.p1	5394
AD-5-152-2_S236_TRINITY_DN1550_c0_g1_i1.p1	5394
AD-7-125-1_S246_TRINITY_DN811_c0_g1_i11.p1	5370
AD-7-149-2_S243_TRINITY_DN6151_c0_g1_i3.p1	5367
AD-2-108-3_S224_TRINITY_DN5852_c0_g1_i5.p1	5358
AD-7-125-1_S246_TRINITY_DN717_c0_g1_i2.p1	5352
AD-7-149-2_S243_TRINITY_DN9314_c0_g1_i3.p1	5352
AD-5-152-2_S236_TRINITY_DN20568_c0_g1_i1.p1	5331
AD-9-127-2_S251_TRINITY_DN29367_c0_g1_i4.p1	5328
AD-9-127-2_S251_TRINITY_DN5851_c0_g1_i1.p1	5328
AD-2-108-3_S224_TRINITY_DN759_c0_g1_i1.p1	5322
AD-5-152-2_S236_TRINITY_DN1330_c0_g1_i12.p1	5313
AD-9-127-2_S251_TRINITY_DN2076_c0_g1_i1.p1	5313
AD-2-108-3_S224_TRINITY_DN4019_c0_g1_i3.p1	5295
AD-5-152-2_S236_TRINITY_DN2488_c0_g1_i4.p1	5295
AD-2-108-3_S224_TRINITY_DN1207_c0_g1_i1.p1	5289
AD-7-149-2_S243_TRINITY_DN2279_c0_g2_i4.p1	5274
AD-5-152-2_S236_TRINITY_DN11660_c0_g1_i1.p1	5262
AD-2-108-3_S224_TRINITY_DN2938_c0_g1_i2.p1	5256
AD-2-108-3_S224_TRINITY_DN2339_c0_g1_i1.p1	5253
AD-2-108-3_S224_TRINITY_DN11481_c0_g1_i1.p1	5250
AD-9-127-2_S251_TRINITY_DN19129_c0_g1_i2.p1	5235
AD-5-152-2_S236_TRINITY_DN5195_c0_g1_i14.p1	5229
AD-7-149-2_S243_TRINITY_DN4865_c0_g1_i4.p1	5226
AD-7-149-2_S243_TRINITY_DN9853_c0_g1_i5.p1	5217
AD-5-152-2_S236_TRINITY_DN3082_c1_g1_i1.p1	5214
AD-7-149-2_S243_TRINITY_DN226_c1_g1_i20.p1	5211
AD-9-127-2_S251_TRINITY_DN880_c0_g1_i7.p1	5211
AD-5-152-2_S236_TRINITY_DN3170_c0_g1_i1.p1	5208
AD-2-108-3_S224_TRINITY_DN1610_c0_g1_i1.p1	5193
AD-7-125-1_S246_TRINITY_DN1548_c2_g1_i1.p1	5181
AD-2-108-3_S224_TRINITY_DN38102_c0_g1_i1.p1	5175
AD-5-152-2_S236_TRINITY_DN3163_c0_g1_i10.p1	5172
AD-5-152-2_S236_TRINITY_DN7441_c0_g1_i6.p1	5169
AD-5-152-2_S236_TRINITY_DN9305_c0_g2_i2.p1	5166
AD-2-108-3_S224_TRINITY_DN4760_c0_g1_i5.p1	5157
AD-2-108-3_S224_TRINITY_DN241_c0_g1_i1.p1	5154
AD-2-108-3_S224_TRINITY_DN1812_c0_g1_i1.p1	5148
AD-7-125-1_S246_TRINITY_DN384_c0_g1_i6.p1	5142
AD-2-108-3_S224_TRINITY_DN2779_c0_g1_i4.p1	5139
AD-5-152-2_S236_TRINITY_DN17841_c0_g1_i1.p1	5139
AD-5-152-2_S236_TRINITY_DN7002_c0_g1_i2.p1	5130
AD-9-127-2_S251_TRINITY_DN22410_c0_g4_i1.p1	5130
AD-2-108-3_S224_TRINITY_DN3155_c0_g1_i5.p1	5127
AD-7-125-1_S246_TRINITY_DN2942_c0_g1_i1.p1	5127
AD-5-152-2_S236_TRINITY_DN4212_c0_g1_i1.p1	5112
AD-7-149-2_S243_TRINITY_DN2713_c0_g1_i6.p1	5100
AD-2-108-3_S224_TRINITY_DN1950_c1_g1_i8.p1	5091
AD-5-152-2_S236_TRINITY_DN8516_c0_g1_i3.p1	5091
AD-7-149-2_S243_TRINITY_DN2083_c0_g1_i2.p1	5076
AD-2-108-3_S224_TRINITY_DN4740_c0_g1_i3.p1	5070
AD-2-108-3_S224_TRINITY_DN4135_c4_g1_i4.p1	5067
AD-5-152-2_S236_TRINITY_DN7735_c0_g1_i5.p1	5067
AD-9-127-2_S251_TRINITY_DN322_c0_g1_i2.p1	5067
AD-7-149-2_S243_TRINITY_DN3935_c0_g1_i1.p1	5061
AD-2-108-3_S224_TRINITY_DN14453_c0_g2_i2.p1	5058
AD-9-127-2_S251_TRINITY_DN11307_c0_g1_i2.p1	5043
AD-2-108-3_S224_TRINITY_DN4886_c0_g1_i1.p1	5031
AD-5-152-2_S236_TRINITY_DN1828_c0_g1_i4.p1	5028
AD-2-108-3_S224_TRINITY_DN2726_c0_g1_i1.p1	5022
AD-2-108-3_S224_TRINITY_DN3814_c0_g1_i3.p1	5013
AD-5-152-2_S236_TRINITY_DN1391_c0_g1_i4.p1	5004
AD-2-108-3_S224_TRINITY_DN10564_c0_g1_i4.p1	4998
AD-5-152-2_S236_TRINITY_DN1441_c1_g1_i1.p1	4998
AD-7-125-1_S246_TRINITY_DN5889_c0_g1_i8.p1	4998
AD-5-152-2_S236_TRINITY_DN17181_c0_g1_i1.p1	4995
AD-7-149-2_S243_TRINITY_DN12068_c0_g1_i5.p1	4995
AD-7-149-2_S243_TRINITY_DN13038_c0_g1_i1.p1	4983
AD-2-108-3_S224_TRINITY_DN2445_c1_g1_i3.p1	4968
AD-2-108-3_S224_TRINITY_DN7258_c0_g1_i9.p1	4962
AD-7-125-1_S246_TRINITY_DN14784_c0_g1_i5.p1	4959
AD-7-125-1_S246_TRINITY_DN12437_c0_g1_i1.p1	4950
AD-2-108-3_S224_TRINITY_DN5488_c0_g1_i1.p1	4944
AD-5-152-2_S236_TRINITY_DN632_c3_g1_i1.p1	4941
AD-5-152-2_S236_TRINITY_DN5927_c0_g1_i5.p1	4938
AD-2-108-3_S224_TRINITY_DN350_c0_g1_i2.p1	4923
AD-2-108-3_S224_TRINITY_DN8731_c0_g1_i1.p1	4908
AD-7-149-2_S243_TRINITY_DN1413_c0_g1_i6.p1	4908
AD-2-108-3_S224_TRINITY_DN10996_c0_g1_i2.p1	4899
